"","State","variable","value"
"2041","Colorado","Deaths",1980
"2042","Connecticut","Deaths",4474
"2043","Delaware","Deaths",609
"2044","District of Columbia","Deaths",611
"2045","Florida","Deaths",11914
"2046","Georgia","Deaths",5931
"2047","Guam","Deaths",20
"2048","Hawaii","Deaths",87
"2049","Idaho","Deaths",390
"2050","Illinois","Deaths",8431
"2051","Indiana","Deaths",3380
"2052","Iowa","Deaths",1185
"2053","Kansas","Deaths",486
"2054","Kentucky","Deaths",1039
"2055","Louisiana","Deaths",5118
"2056","Maine","Deaths",134
"2057","Maryland","Deaths",3807
"2058","Massachusetts","Deaths",9141
"2059","Michigan","Deaths",6814
"2060","Minnesota","Deaths",1914
"2061","Mississippi","Deaths",2585
"2062","Missouri","Deaths",1746
"2063","Montana","Deaths",119
"2064","Nebraska","Deaths",418
"2065","Nevada","Deaths",1395
"2066","New Hampshire","Deaths",433
"2067","New Jersey","Deaths",15996
"2068","New Mexico","Deaths",807
"2069","New York","Deaths",32612
"2070","North Carolina","Deaths",2942
"2071","North Dakota","Deaths",160
"2072","Northern Mariana Islands","Deaths",2
"2073","Ohio","Deaths",4298
"2074","Oklahoma","Deaths",854
"2075","Oregon","Deaths",492
"2076","Pennsylvania","Deaths",7862
"2077","Puerto Rico","Deaths",482
"2078","Rhode Island","Deaths",1059
"2079","South Carolina","Deaths",2912
"2080","South Dakota","Deaths",173
"2081","Tennessee","Deaths",1873
"2082","Texas","Deaths",13855
"2083","Utah","Deaths",426
"2084","Vermont","Deaths",58
"2085","Virgin Islands","Deaths",18
"2086","Virginia","Deaths",2686
"2087","Washington","Deaths",2045
"2088","West Virginia","Deaths",250
"2089","Wisconsin","Deaths",1179
"2090","Wyoming","Deaths",42
"2091","Alabama","Deaths",2285
"2092","Alaska","Deaths",39
"2093","Arizona","Deaths",5253
"2094","Arkansas","Deaths",928
"2095","California","Deaths",13990
"2096","Colorado","Deaths",1984
"2097","Connecticut","Deaths",4474
"2098","Delaware","Deaths",609
"2099","District of Columbia","Deaths",615
"2100","Florida","Deaths",12114
"2101","Georgia","Deaths",5987
"2102","Guam","Deaths",21
"2103","Hawaii","Deaths",90
"2104","Idaho","Deaths",406
"2105","Illinois","Deaths",8457
"2106","Indiana","Deaths",3397
"2107","Iowa","Deaths",1204
"2108","Kansas","Deaths",497
"2109","Kentucky","Deaths",1058
"2110","Louisiana","Deaths",5140
"2111","Maine","Deaths",134
"2112","Maryland","Deaths",3816
"2113","Massachusetts","Deaths",9146
"2114","Michigan","Deaths",6889
"2115","Minnesota","Deaths",1921
"2116","Mississippi","Deaths",2623
"2117","Missouri","Deaths",1755
"2118","Montana","Deaths",122
"2119","Nebraska","Deaths",434
"2120","Nevada","Deaths",1414
"2121","New Hampshire","Deaths",433
"2122","New Jersey","Deaths",16009
"2123","New Mexico","Deaths",813
"2124","New York","Deaths",32611
"2125","North Carolina","Deaths",2990
"2126","North Dakota","Deaths",161
"2127","Northern Mariana Islands","Deaths",2
"2128","Ohio","Deaths",4324
"2129","Oklahoma","Deaths",863
"2130","Oregon","Deaths",499
"2131","Pennsylvania","Deaths",7882
"2132","Puerto Rico","Deaths",500
"2133","Rhode Island","Deaths",1062
"2134","South Carolina","Deaths",2942
"2135","South Dakota","Deaths",173
"2136","Tennessee","Deaths",1908
"2137","Texas","Deaths",13986
"2138","Utah","Deaths",428
"2139","Vermont","Deaths",58
"2140","Virgin Islands","Deaths",18
"2141","Virginia","Deaths",2697
"2142","Washington","Deaths",2066
"2143","West Virginia","Deaths",254
"2144","Wisconsin","Deaths",1193
"2145","Wyoming","Deaths",42
"2146","Alabama","Deaths",2301
"2147","Alaska","Deaths",39
"2148","Arizona","Deaths",5275
"2149","Arkansas","Deaths",940
"2150","California","Deaths",14094
"2151","Colorado","Deaths",1988
"2152","Connecticut","Deaths",4478
"2153","Delaware","Deaths",613
"2154","District of Columbia","Deaths",616
"2155","Florida","Deaths",12325
"2156","Georgia","Deaths",6062
"2157","Guam","Deaths",22
"2158","Hawaii","Deaths",93
"2159","Idaho","Deaths",407
"2160","Illinois","Deaths",8480
"2161","Indiana","Deaths",3410
"2162","Iowa","Deaths",1208
"2163","Kansas","Deaths",499
"2164","Kentucky","Deaths",1073
"2165","Louisiana","Deaths",5161
"2166","Maine","Deaths",134
"2167","Maryland","Deaths",3824
"2168","Massachusetts","Deaths",9166
"2169","Michigan","Deaths",6894
"2170","Minnesota","Deaths",1936
"2171","Mississippi","Deaths",2656
"2172","Missouri","Deaths",1773
"2173","Montana","Deaths",123
"2174","Nebraska","Deaths",440
"2175","Nevada","Deaths",1432
"2176","New Hampshire","Deaths",434
"2177","New Jersey","Deaths",16014
"2178","New Mexico","Deaths",816
"2179","New York","Deaths",32618
"2180","North Carolina","Deaths",3016
"2181","North Dakota","Deaths",163
"2182","Northern Mariana Islands","Deaths",2
"2183","Ohio","Deaths",4354
"2184","Oklahoma","Deaths",876
"2185","Oregon","Deaths",501
"2186","Pennsylvania","Deaths",7894
"2187","Puerto Rico","Deaths",512
"2188","Rhode Island","Deaths",1067
"2189","South Carolina","Deaths",2975
"2190","South Dakota","Deaths",177
"2191","Tennessee","Deaths",1963
"2192","Texas","Deaths",13998
"2193","Utah","Deaths",431
"2194","Vermont","Deaths",58
"2195","Virgin Islands","Deaths",18
"2196","Virginia","Deaths",2708
"2197","Washington","Deaths",2073
"2198","West Virginia","Deaths",257
"2199","Wisconsin","Deaths",1202
"2200","Wyoming","Deaths",42
"2201","Alabama","Deaths",2333
"2202","Alaska","Deaths",40
"2203","Arizona","Deaths",5290
"2204","Arkansas","Deaths",953
"2205","California","Deaths",14265
"2206","Colorado","Deaths",1991
"2207","Connecticut","Deaths",4480
"2208","Delaware","Deaths",613
"2209","District of Columbia","Deaths",616
"2210","Florida","Deaths",12501
"2211","Georgia","Deaths",6103
"2212","Guam","Deaths",24
"2213","Hawaii","Deaths",95
"2214","Idaho","Deaths",415
"2215","Illinois","Deaths",8522
"2216","Indiana","Deaths",3420
"2217","Iowa","Deaths",1216
"2218","Kansas","Deaths",520
"2219","Kentucky","Deaths",1087
"2220","Louisiana","Deaths",5202
"2221","Maine","Deaths",134
"2222","Maryland","Deaths",3828
"2223","Massachusetts","Deaths",9180
"2224","Michigan","Deaths",6900
"2225","Minnesota","Deaths",1949
"2226","Mississippi","Deaths",2670
"2227","Missouri","Deaths",1784
"2228","Montana","Deaths",132
"2229","Nebraska","Deaths",449
"2230","Nevada","Deaths",1441
"2231","New Hampshire","Deaths",434
"2232","New Jersey","Deaths",16023
"2233","New Mexico","Deaths",818
"2234","New York","Deaths",32619
"2235","North Carolina","Deaths",3050
"2236","North Dakota","Deaths",167
"2237","Northern Mariana Islands","Deaths",2
"2238","Ohio","Deaths",4403
"2239","Oklahoma","Deaths",888
"2240","Oregon","Deaths",500
"2241","Pennsylvania","Deaths",7914
"2242","Puerto Rico","Deaths",523
"2243","Rhode Island","Deaths",1071
"2244","South Carolina","Deaths",3028
"2245","South Dakota","Deaths",177
"2246","Tennessee","Deaths",1999
"2247","Texas","Deaths",14279
"2248","Utah","Deaths",433
"2249","Vermont","Deaths",58
"2250","Virgin Islands","Deaths",18
"2251","Virginia","Deaths",2711
"2252","Washington","Deaths",2079
"2253","West Virginia","Deaths",263
"2254","Wisconsin","Deaths",1206
"2255","Wyoming","Deaths",42
"2256","Alabama","Deaths",2350
"2257","Alaska","Deaths",41
"2258","Arizona","Deaths",5316
"2259","Arkansas","Deaths",969
"2260","California","Deaths",14333
"2261","Colorado","Deaths",1994
"2262","Connecticut","Deaths",4480
"2263","Delaware","Deaths",613
"2264","District of Columbia","Deaths",616
"2265","Florida","Deaths",12599
"2266","Georgia","Deaths",6144
"2267","Guam","Deaths",24
"2268","Hawaii","Deaths",96
"2269","Idaho","Deaths",416
"2270","Illinois","Deaths",8546
"2271","Indiana","Deaths",3437
"2272","Iowa","Deaths",1218
"2273","Kansas","Deaths",533
"2274","Kentucky","Deaths",1099
"2275","Louisiana","Deaths",5202
"2276","Maine","Deaths",135
"2277","Maryland","Deaths",3836
"2278","Massachusetts","Deaths",9196
"2279","Michigan","Deaths",6912
"2280","Minnesota","Deaths",1958
"2281","Mississippi","Deaths",2685
"2282","Missouri","Deaths",1802
"2283","Montana","Deaths",134
"2284","Nebraska","Deaths",449
"2285","Nevada","Deaths",1453
"2286","New Hampshire","Deaths",435
"2287","New Jersey","Deaths",16027
"2288","New Mexico","Deaths",821
"2289","New York","Deaths",32625
"2290","North Carolina","Deaths",3073
"2291","North Dakota","Deaths",170
"2292","Northern Mariana Islands","Deaths",2
"2293","Ohio","Deaths",4411
"2294","Oklahoma","Deaths",899
"2295","Oregon","Deaths",505
"2296","Pennsylvania","Deaths",7915
"2297","Puerto Rico","Deaths",535
"2298","Rhode Island","Deaths",1071
"2299","South Carolina","Deaths",3040
"2300","South Dakota","Deaths",183
"2301","Tennessee","Deaths",2040
"2302","Texas","Deaths",14384
"2303","Utah","Deaths",434
"2304","Vermont","Deaths",58
"2305","Virgin Islands","Deaths",19
"2306","Virginia","Deaths",2722
"2307","Washington","Deaths",2079
"2308","West Virginia","Deaths",265
"2309","Wisconsin","Deaths",1218
"2310","Wyoming","Deaths",42
"2311","Alabama","Deaths",2351
"2312","Alaska","Deaths",41
"2313","Arizona","Deaths",5322
"2314","Arkansas","Deaths",981
"2315","California","Deaths",14386
"2316","Colorado","Deaths",1994
"2317","Connecticut","Deaths",4480
"2318","Delaware","Deaths",615
"2319","District of Columbia","Deaths",616
"2320","Florida","Deaths",12607
"2321","Georgia","Deaths",6191
"2322","Guam","Deaths",24
"2323","Hawaii","Deaths",98
"2324","Idaho","Deaths",416
"2325","Illinois","Deaths",8562
"2326","Indiana","Deaths",3438
"2327","Iowa","Deaths",1220
"2328","Kansas","Deaths",536
"2329","Kentucky","Deaths",1102
"2330","Louisiana","Deaths",5235
"2331","Maine","Deaths",136
"2332","Maryland","Deaths",3838
"2333","Massachusetts","Deaths",9210
"2334","Michigan","Deaths",6912
"2335","Minnesota","Deaths",1971
"2336","Mississippi","Deaths",2697
"2337","Missouri","Deaths",1812
"2338","Montana","Deaths",136
"2339","Nebraska","Deaths",449
"2340","Nevada","Deaths",1454
"2341","New Hampshire","Deaths",436
"2342","New Jersey","Deaths",16031
"2343","New Mexico","Deaths",823
"2344","New York","Deaths",32629
"2345","North Carolina","Deaths",3080
"2346","North Dakota","Deaths",171
"2347","Northern Mariana Islands","Deaths",2
"2348","Ohio","Deaths",4415
"2349","Oklahoma","Deaths",905
"2350","Oregon","Deaths",509
"2351","Pennsylvania","Deaths",7915
"2352","Puerto Rico","Deaths",539
"2353","Rhode Island","Deaths",1071
"2354","South Carolina","Deaths",3064
"2355","South Dakota","Deaths",184
"2356","Tennessee","Deaths",2055
"2357","Texas","Deaths",14458
"2358","Utah","Deaths",434
"2359","Vermont","Deaths",58
"2360","Virgin Islands","Deaths",19
"2361","Virginia","Deaths",2724
"2362","Washington","Deaths",2079
"2363","West Virginia","Deaths",266
"2364","Wisconsin","Deaths",1219
"2365","Wyoming","Deaths",42
"2366","Alabama","Deaths",2355
"2367","Alaska","Deaths",41
"2368","Arizona","Deaths",5322
"2369","Arkansas","Deaths",992
"2370","California","Deaths",14458
"2371","Colorado","Deaths",2000
"2372","Connecticut","Deaths",4485
"2373","Delaware","Deaths",617
"2374","District of Columbia","Deaths",616
"2375","Florida","Deaths",12641
"2376","Georgia","Deaths",6211
"2377","Guam","Deaths",27
"2378","Hawaii","Deaths",98
"2379","Idaho","Deaths",420
"2380","Illinois","Deaths",8571
"2381","Indiana","Deaths",3439
"2382","Iowa","Deaths",1233
"2383","Kansas","Deaths",546
"2384","Kentucky","Deaths",1105
"2385","Louisiana","Deaths",5252
"2386","Maine","Deaths",136
"2387","Maryland","Deaths",3839
"2388","Massachusetts","Deaths",9219
"2389","Michigan","Deaths",6922
"2390","Minnesota","Deaths",1974
"2391","Mississippi","Deaths",2706
"2392","Missouri","Deaths",1812
"2393","Montana","Deaths",139
"2394","Nebraska","Deaths",450
"2395","Nevada","Deaths",1456
"2396","New Hampshire","Deaths",436
"2397","New Jersey","Deaths",16034
"2398","New Mexico","Deaths",823
"2399","New York","Deaths",32639
"2400","North Carolina","Deaths",3094
"2401","North Dakota","Deaths",173
"2402","Northern Mariana Islands","Deaths",2
"2403","Ohio","Deaths",4419
"2404","Oklahoma","Deaths",905
"2405","Oregon","Deaths",511
"2406","Pennsylvania","Deaths",7940
"2407","Puerto Rico","Deaths",542
"2408","Rhode Island","Deaths",1075
"2409","South Carolina","Deaths",3077
"2410","South Dakota","Deaths",184
"2411","Tennessee","Deaths",2073
"2412","Texas","Deaths",14508
"2413","Utah","Deaths",436
"2414","Vermont","Deaths",58
"2415","Virgin Islands","Deaths",19
"2416","Virginia","Deaths",2743
"2417","Washington","Deaths",2095
"2418","West Virginia","Deaths",275
"2419","Wisconsin","Deaths",1219
"2420","Wyoming","Deaths",46
"2421","Alabama","Deaths",2387
"2422","Alaska","Deaths",41
"2423","Arizona","Deaths",5346
"2424","Arkansas","Deaths",1150
"2425","California","Deaths",14606
"2426","Colorado","Deaths",2006
"2427","Connecticut","Deaths",4485
"2428","Delaware","Deaths",618
"2429","District of Columbia","Deaths",616
"2430","Florida","Deaths",12786
"2431","Georgia","Deaths",6255
"2432","Guam","Deaths",29
"2433","Hawaii","Deaths",99
"2434","Idaho","Deaths",425
"2435","Illinois","Deaths",8589
"2436","Indiana","Deaths",3460
"2437","Iowa","Deaths",1234
"2438","Kansas","Deaths",555
"2439","Kentucky","Deaths",1112
"2440","Louisiana","Deaths",5278
"2441","Maine","Deaths",137
"2442","Maryland","Deaths",3849
"2443","Massachusetts","Deaths",9225
"2444","Michigan","Deaths",6933
"2445","Minnesota","Deaths",1979
"2446","Mississippi","Deaths",2734
"2447","Missouri","Deaths",1830
"2448","Montana","Deaths",141
"2449","Nebraska","Deaths",451
"2450","Nevada","Deaths",1484
"2451","New Hampshire","Deaths",438
"2452","New Jersey","Deaths",16043
"2453","New Mexico","Deaths",830
"2454","New York","Deaths",32655
"2455","North Carolina","Deaths",3135
"2456","North Dakota","Deaths",175
"2457","Northern Mariana Islands","Deaths",2
"2458","Ohio","Deaths",4506
"2459","Oklahoma","Deaths",912
"2460","Oregon","Deaths",519
"2461","Pennsylvania","Deaths",7945
"2462","Puerto Rico","Deaths",551
"2463","Rhode Island","Deaths",1078
"2464","South Carolina","Deaths",3098
"2465","South Dakota","Deaths",184
"2466","Tennessee","Deaths",2102
"2467","Texas","Deaths",14661
"2468","Utah","Deaths",436
"2469","Vermont","Deaths",58
"2470","Virgin Islands","Deaths",19
"2471","Virginia","Deaths",2839
"2472","Washington","Deaths",2107
"2473","West Virginia","Deaths",280
"2474","Wisconsin","Deaths",1230
"2475","Wyoming","Deaths",46
"2476","Alabama","Deaths",2392
"2477","Alaska","Deaths",41
"2478","Arizona","Deaths",5376
"2479","Arkansas","Deaths",1157
"2480","California","Deaths",14716
"2481","Colorado","Deaths",2010
"2482","Connecticut","Deaths",4487
"2483","Delaware","Deaths",619
"2484","District of Columbia","Deaths",617
"2485","Florida","Deaths",12938
"2486","Georgia","Deaths",6276
"2487","Guam","Deaths",29
"2488","Hawaii","Deaths",102
"2489","Idaho","Deaths",430
"2490","Illinois","Deaths",8622
"2491","Indiana","Deaths",3472
"2492","Iowa","Deaths",1248
"2493","Kansas","Deaths",586
"2494","Kentucky","Deaths",1118
"2495","Louisiana","Deaths",5294
"2496","Maine","Deaths",138
"2497","Maryland","Deaths",3855
"2498","Massachusetts","Deaths",9245
"2499","Michigan","Deaths",6944
"2500","Minnesota","Deaths",1985
"2501","Mississippi","Deaths",2756
"2502","Missouri","Deaths",1844
"2503","Montana","Deaths",141
"2504","Nebraska","Deaths",455
"2505","Nevada","Deaths",1496
"2506","New Hampshire","Deaths",438
"2507","New Jersey","Deaths",16054
"2508","New Mexico","Deaths",832
"2509","New York","Deaths",32662
"2510","North Carolina","Deaths",3176
"2511","North Dakota","Deaths",180
"2512","Northern Mariana Islands","Deaths",2
"2513","Ohio","Deaths",4555
"2514","Oklahoma","Deaths",924
"2515","Oregon","Deaths",521
"2516","Pennsylvania","Deaths",7963
"2517","Puerto Rico","Deaths",570
"2518","Rhode Island","Deaths",1081
"2519","South Carolina","Deaths",3132
"2520","South Dakota","Deaths",192
"2521","Tennessee","Deaths",2127
"2522","Texas","Deaths",14803
"2523","Utah","Deaths",437
"2524","Vermont","Deaths",58
"2525","Virgin Islands","Deaths",19
"2526","Virginia","Deaths",2884
"2527","Washington","Deaths",2113
"2528","West Virginia","Deaths",290
"2529","Wisconsin","Deaths",1238
"2530","Wyoming","Deaths",46
"2531","Alabama","Deaths",2401
"2532","Alaska","Deaths",41
"2533","Arizona","Deaths",5411
"2534","Arkansas","Deaths",1166
"2535","California","Deaths",14807
"2536","Colorado","Deaths",2016
"2537","Connecticut","Deaths",4488
"2538","Delaware","Deaths",619
"2539","District of Columbia","Deaths",619
"2540","Florida","Deaths",13085
"2541","Georgia","Deaths",6328
"2542","Guam","Deaths",31
"2543","Hawaii","Deaths",106
"2544","Idaho","Deaths",435
"2545","Illinois","Deaths",8643
"2546","Indiana","Deaths",3478
"2547","Iowa","Deaths",1257
"2548","Kansas","Deaths",586
"2549","Kentucky","Deaths",1127
"2550","Louisiana","Deaths",5311
"2551","Maine","Deaths",138
"2552","Maryland","Deaths",3861
"2553","Massachusetts","Deaths",9260
"2554","Michigan","Deaths",6956
"2555","Minnesota","Deaths",1994
"2556","Mississippi","Deaths",2780
"2557","Missouri","Deaths",1864
"2558","Montana","Deaths",143
"2559","Nebraska","Deaths",457
"2560","Nevada","Deaths",1509
"2561","New Hampshire","Deaths",438
"2562","New Jersey","Deaths",16057
"2563","New Mexico","Deaths",836
"2564","New York","Deaths",32669
"2565","North Carolina","Deaths",3208
"2566","North Dakota","Deaths",185
"2567","Northern Mariana Islands","Deaths",2
"2568","Ohio","Deaths",4580
"2569","Oklahoma","Deaths",930
"2570","Oregon","Deaths",521
"2571","Pennsylvania","Deaths",7978
"2572","Puerto Rico","Deaths",588
"2573","Rhode Island","Deaths",1085
"2574","South Carolina","Deaths",3158
"2575","South Dakota","Deaths",193
"2576","Tennessee","Deaths",2141
"2577","Texas","Deaths",14909
"2578","Utah","Deaths",437
"2579","Vermont","Deaths",58
"2580","Virgin Islands","Deaths",19
"2581","Virginia","Deaths",2920
"2582","Washington","Deaths",2123
"2583","West Virginia","Deaths",294
"2584","Wisconsin","Deaths",1240
"2585","Wyoming","Deaths",49
"2586","Alabama","Deaths",2428
"2587","Alaska","Deaths",42
"2588","Arizona","Deaths",5455
"2589","Arkansas","Deaths",1173
"2590","California","Deaths",14912
"2591","Colorado","Deaths",2020
"2592","Connecticut","Deaths",4492
"2593","Delaware","Deaths",620
"2594","District of Columbia","Deaths",619
"2595","Florida","Deaths",13224
"2596","Georgia","Deaths",6390
"2597","Guam","Deaths",34
"2598","Hawaii","Deaths",119
"2599","Idaho","Deaths",439
"2600","Illinois","Deaths",8666
"2601","Indiana","Deaths",3495
"2602","Iowa","Deaths",1264
"2603","Kansas","Deaths",596
"2604","Kentucky","Deaths",1132
"2605","Louisiana","Deaths",5340
"2606","Maine","Deaths",138
"2607","Maryland","Deaths",3869
"2608","Massachusetts","Deaths",9269
"2609","Michigan","Deaths",6955
"2610","Minnesota","Deaths",2002
"2611","Mississippi","Deaths",2792
"2612","Missouri","Deaths",1892
"2613","Montana","Deaths",146
"2614","Nebraska","Deaths",457
"2615","Nevada","Deaths",1526
"2616","New Hampshire","Deaths",438
"2617","New Jersey","Deaths",16061
"2618","New Mexico","Deaths",841
"2619","New York","Deaths",32682
"2620","North Carolina","Deaths",3232
"2621","North Dakota","Deaths",187
"2622","Northern Mariana Islands","Deaths",2
"2623","Ohio","Deaths",4608
"2624","Oklahoma","Deaths",939
"2625","Oregon","Deaths",524
"2626","Pennsylvania","Deaths",8006
"2627","Puerto Rico","Deaths",599
"2628","Rhode Island","Deaths",1088
"2629","South Carolina","Deaths",3177
"2630","South Dakota","Deaths",198
"2631","Tennessee","Deaths",2173
"2632","Texas","Deaths",15037
"2633","Utah","Deaths",437
"2634","Vermont","Deaths",58
"2635","Virgin Islands","Deaths",19
"2636","Virginia","Deaths",2949
"2637","Washington","Deaths",2130
"2638","West Virginia","Deaths",297
"2639","Wisconsin","Deaths",1247
"2640","Wyoming","Deaths",49
"2641","Alabama","Deaths",2437
"2642","Alaska","Deaths",42
"2643","Arizona","Deaths",5471
"2644","Arkansas","Deaths",1181
"2645","California","Deaths",15023
"2646","Colorado","Deaths",2022
"2647","Connecticut","Deaths",4492
"2648","Delaware","Deaths",621
"2649","District of Columbia","Deaths",619
"2650","Florida","Deaths",13286
"2651","Georgia","Deaths",6450
"2652","Guam","Deaths",35
"2653","Hawaii","Deaths",119
"2654","Idaho","Deaths",441
"2655","Illinois","Deaths",8688
"2656","Indiana","Deaths",3503
"2657","Iowa","Deaths",1265
"2658","Kansas","Deaths",596
"2659","Kentucky","Deaths",1137
"2660","Louisiana","Deaths",5340
"2661","Maine","Deaths",139
"2662","Maryland","Deaths",3876
"2663","Massachusetts","Deaths",9295
"2664","Michigan","Deaths",6970
"2665","Minnesota","Deaths",2015
"2666","Mississippi","Deaths",2809
"2667","Missouri","Deaths",1905
"2668","Montana","Deaths",156
"2669","Nebraska","Deaths",457
"2670","Nevada","Deaths",1528
"2671","New Hampshire","Deaths",438
"2672","New Jersey","Deaths",16064
"2673","New Mexico","Deaths",847
"2674","New York","Deaths",32679
"2675","North Carolina","Deaths",3260
"2676","North Dakota","Deaths",195
"2677","Northern Mariana Islands","Deaths",2
"2678","Ohio","Deaths",4612
"2679","Oklahoma","Deaths",943
"2680","Oregon","Deaths",527
"2681","Pennsylvania","Deaths",8028
"2682","Puerto Rico","Deaths",605
"2683","Rhode Island","Deaths",1088
"2684","South Carolina","Deaths",3188
"2685","South Dakota","Deaths",200
"2686","Tennessee","Deaths",2193
"2687","Texas","Deaths",15124
"2688","Utah","Deaths",440
"2689","Vermont","Deaths",58
"2690","Virgin Islands","Deaths",19
"2691","Virginia","Deaths",2990
"2692","Washington","Deaths",2130
"2693","West Virginia","Deaths",308
"2694","Wisconsin","Deaths",1249
"2695","Wyoming","Deaths",49
"2696","Alabama","Deaths",2437
"2697","Alaska","Deaths",42
"2698","Arizona","Deaths",5480
"2699","Arkansas","Deaths",1181
"2700","California","Deaths",15018
"2701","Colorado","Deaths",2023
"2702","Connecticut","Deaths",4492
"2703","Delaware","Deaths",621
"2704","District of Columbia","Deaths",620
"2705","Florida","Deaths",13295
"2706","Georgia","Deaths",6453
"2707","Guam","Deaths",35
"2708","Hawaii","Deaths",119
"2709","Idaho","Deaths",443
"2710","Illinois","Deaths",8700
"2711","Indiana","Deaths",3506
"2712","Iowa","Deaths",1265
"2713","Kansas","Deaths",597
"2714","Kentucky","Deaths",1139
"2715","Louisiana","Deaths",5366
"2716","Maine","Deaths",139
"2717","Maryland","Deaths",3879
"2718","Massachusetts","Deaths",9310
"2719","Michigan","Deaths",6971
"2720","Minnesota","Deaths",2017
"2721","Mississippi","Deaths",2810
"2722","Missouri","Deaths",1896
"2723","Montana","Deaths",157
"2724","Nebraska","Deaths",457
"2725","Nevada","Deaths",1532
"2726","New Hampshire","Deaths",438
"2727","New Jersey","Deaths",16067
"2728","New Mexico","Deaths",849
"2729","New York","Deaths",32686
"2730","North Carolina","Deaths",3270
"2731","North Dakota","Deaths",195
"2732","Northern Mariana Islands","Deaths",2
"2733","Ohio","Deaths",4615
"2734","Oklahoma","Deaths",946
"2735","Oregon","Deaths",528
"2736","Pennsylvania","Deaths",8049
"2737","Puerto Rico","Deaths",608
"2738","Rhode Island","Deaths",1088
"2739","South Carolina","Deaths",3199
"2740","South Dakota","Deaths",202
"2741","Tennessee","Deaths",2195
"2742","Texas","Deaths",15159
"2743","Utah","Deaths",440
"2744","Vermont","Deaths",58
"2745","Virgin Islands","Deaths",19
"2746","Virginia","Deaths",3015
"2747","Washington","Deaths",2130
"2748","West Virginia","Deaths",310
"2749","Wisconsin","Deaths",1250
"2750","Wyoming","Deaths",49
"2751","Alabama","Deaths",2439
"2752","Alaska","Deaths",42
"2753","Arizona","Deaths",5482
"2754","Arkansas","Deaths",1197
"2755","California","Deaths",15069
"2756","Colorado","Deaths",2031
"2757","Connecticut","Deaths",4495
"2758","Delaware","Deaths",627
"2759","District of Columbia","Deaths",621
"2760","Florida","Deaths",13316
"2761","Georgia","Deaths",6455
"2762","Guam","Deaths",36
"2763","Hawaii","Deaths",119
"2764","Idaho","Deaths",447
"2765","Illinois","Deaths",8717
"2766","Indiana","Deaths",3512
"2767","Iowa","Deaths",1284
"2768","Kansas","Deaths",604
"2769","Kentucky","Deaths",1141
"2770","Louisiana","Deaths",5375
"2771","Maine","Deaths",140
"2772","Maryland","Deaths",3883
"2773","Massachusetts","Deaths",9317
"2774","Michigan","Deaths",6982
"2775","Minnesota","Deaths",2021
"2776","Mississippi","Deaths",2810
"2777","Missouri","Deaths",1936
"2778","Montana","Deaths",160
"2779","Nebraska","Deaths",464
"2780","Nevada","Deaths",1531
"2781","New Hampshire","Deaths",438
"2782","New Jersey","Deaths",16069
"2783","New Mexico","Deaths",851
"2784","New York","Deaths",32691
"2785","North Carolina","Deaths",3283
"2786","North Dakota","Deaths",196
"2787","Northern Mariana Islands","Deaths",2
"2788","Ohio","Deaths",4623
"2789","Oklahoma","Deaths",948
"2790","Oregon","Deaths",532
"2791","Pennsylvania","Deaths",8080
"2792","Puerto Rico","Deaths",609
"2793","Rhode Island","Deaths",1097
"2794","South Carolina","Deaths",3212
"2795","South Dakota","Deaths",202
"2796","Tennessee","Deaths",2209
"2797","Texas","Deaths",15212
"2798","Utah","Deaths",441
"2799","Vermont","Deaths",58
"2800","Virgin Islands","Deaths",19
"2801","Virginia","Deaths",3021
"2802","Washington","Deaths",2137
"2803","West Virginia","Deaths",312
"2804","Wisconsin","Deaths",1253
"2805","Wyoming","Deaths",49
"2806","Alabama","Deaths",2457
"2807","Alaska","Deaths",42
"2808","Arizona","Deaths",5501
"2809","Arkansas","Deaths",1209
"2810","California","Deaths",15209
"2811","Colorado","Deaths",2034
"2812","Connecticut","Deaths",4496
"2813","Delaware","Deaths",628
"2814","District of Columbia","Deaths",621
"2815","Florida","Deaths",13415
"2816","Georgia","Deaths",6524
"2817","Guam","Deaths",38
"2818","Hawaii","Deaths",119
"2819","Idaho","Deaths",452
"2820","Illinois","Deaths",8741
"2821","Indiana","Deaths",3520
"2822","Iowa","Deaths",1293
"2823","Kansas","Deaths",618
"2824","Kentucky","Deaths",1148
"2825","Louisiana","Deaths",5386
"2826","Maine","Deaths",140
"2827","Maryland","Deaths",3895
"2828","Massachusetts","Deaths",9328
"2829","Michigan","Deaths",6998
"2830","Minnesota","Deaths",2031
"2831","Mississippi","Deaths",2846
"2832","Missouri","Deaths",1974
"2833","Montana","Deaths",163
"2834","Nebraska","Deaths",473
"2835","Nevada","Deaths",1546
"2836","New Hampshire","Deaths",438
"2837","New Jersey","Deaths",16076
"2838","New Mexico","Deaths",854
"2839","New York","Deaths",32690
"2840","North Carolina","Deaths",3320
"2841","North Dakota","Deaths",199
"2842","Northern Mariana Islands","Deaths",2
"2843","Ohio","Deaths",4635
"2844","Oklahoma","Deaths",962
"2845","Oregon","Deaths",535
"2846","Pennsylvania","Deaths",8099
"2847","Puerto Rico","Deaths",613
"2848","Rhode Island","Deaths",1099
"2849","South Carolina","Deaths",3243
"2850","South Dakota","Deaths",202
"2851","Tennessee","Deaths",2236
"2852","Texas","Deaths",15322
"2853","Utah","Deaths",443
"2854","Vermont","Deaths",58
"2855","Virgin Islands","Deaths",19
